日期,上证所_A股账户新增开户数_合计,消费者信心指数_月,投资者信心指数_总指数,投资者信心指数_买入_BII,工业增加值_当月同比
2014-03-31,338293.0,107.9,51.6,51.8,8.8
2014-04-30,169354.0,104.8,51.5,49.7,8.7
2014-05-31,146168.0,102.3,47.5,45.7,8.8
2014-06-30,225597.0,104.7,51.0,48.3,9.2
2014-07-31,264909.0,104.4,58.5,56.3,9.0
2014-08-31,322283.0,103.8,69.6,69.6,6.9
2014-09-30,439557.0,105.4,70.5,72.4,8.0
2014-10-31,417306.0,103.4,66.4,68.5,7.7
2014-11-30,558162.0,105.5,70.5,76.9,7.2
2014-12-31,1517603.0,105.8,71.2,74.5,7.9
2015-01-31,1003655.0,105.7,67.7,70.4,9.6
2015-02-28,566206.0,109.8,64.6,63.1,3.6
2015-03-31,2461383.0,107.1,70.5,69.0,5.6
2015-04-30,7198621.0,107.6,65.2,58.9,5.9
2015-05-31,6738051.0,109.9,63.8,60.2,6.1
2015-06-30,7118059.0,105.5,56.2,49.1,6.8
2015-07-31,3271100.0,104.48,59.6,52.7,6.0
2015-08-31,2270300.0,104.0,41.3,37.1,6.1
2015-09-30,1881700.0,105.6,51.3,47.0,5.7
2015-10-31,1907100.0,103.8,55.3,51.2,5.6
2015-11-30,2732700.0,104.1,57.8,55.1,6.2
2015-12-31,2907000.0,103.7,60.6,55.7,5.9
2016-01-31,2320200.0,104.0,44.9,42.3,5.865724
2016-02-29,1989600.0,104.4,48.8,45.9,4.906937
2016-03-31,4121700.0,100.0,54.7,51.0,6.8
2016-04-30,2589200.0,101.0,48.8,44.6,6.0
2016-05-31,2490600.0,99.8,47.8,43.4,6.0
2016-06-30,2645700.0,102.9,54.9,50.2,6.2
2016-07-31,2369300.0,106.8,51.6,47.7,6.0
2016-08-31,3624700.0,105.6,54.0,47.9,6.3
2016-09-30,3144600.0,104.6,50.3,46.1,6.1
2016-10-31,2074900.0,107.2,55.3,50.2,6.1
2016-11-30,2818500.0,108.6,56.7,52.9,6.2
2016-12-31,2231100.0,108.4,54.3,48.3,6.0
2017-01-31,1551900.0,109.2,53.2,46.9,2.93725
2017-02-28,2430800.0,112.6,55.6,49.3,10.322581
2017-03-31,3725000.0,111.0,54.8,47.8,7.6
2017-04-30,1983200.0,113.4,50.4,44.4,6.5
2017-05-31,1938300.0,112.0,48.9,43.5,6.5
2017-06-30,2116500.0,113.3,54.5,46.0,7.6
2017-07-31,1840000.0,114.6,53.9,45.9,6.4
2017-08-31,2292300.0,114.7,58.6,52.2,6.0
2017-09-30,2093200.0,118.6,58.1,51.3,6.6
2017-10-31,1534600.0,123.9,53.8,45.1,6.2
2017-11-30,1990400.0,121.3,52.2,44.4,6.1
2017-12-31,1546800.0,122.6,55.6,48.2,6.2
2018-01-31,2020600.0,122.3,55.6,48.2,15.434501
2018-02-28,1175900.0,124.0,55.6,48.2,-2.119883
2018-03-31,2489700.0,122.3,51.2,47.0,6.0
2018-04-30,1486800.0,122.9,50.8,44.6,7.0
2018-05-31,1721500.0,122.9,50.8,44.6,6.8
2018-06-30,1605800.0,118.2,50.8,44.6,6.0
2018-07-31,1655800.0,119.7,50.8,44.6,6.0
2018-08-31,1601400.0,118.6,50.8,44.6,6.1
2018-09-30,1376100.0,118.5,50.8,44.6,5.8
2018-10-31,1367200.0,119.1,50.8,44.6,5.9
2018-11-30,1636500.0,122.1,50.8,44.6,5.4
2018-12-31,1335400.0,123.0,46.0,42.8,5.7
2019-01-31,1640400.0,123.7,51.9,49.2,6.797753
2019-02-28,1649500.0,126.0,67.1,67.3,3.360717
2019-03-31,3379600.0,124.1,65.5,64.5,8.5
2019-04-30,2460800.0,125.3,60.5,58.3,5.4
2019-05-31,1805900.0,123.4,56.7,53.2,5.0
2019-06-30,1653600.0,125.9,59.5,55.4,6.3
2019-07-31,1682700.0,124.4,58.8,52.4,4.8
2019-08-31,1532700.0,122.4,58.5,52.5,4.4
2019-09-30,1536800.0,124.1,56.7,51.4,5.8
2019-10-31,1248600.0,124.3,56.2,50.3,4.7
2019-11-30,1387883.0,124.6,55.4,49.0,6.2
2019-12-31,1541150.0,126.6,61.4,56.3,6.9
2020-01-31,1490600.0,126.4,55.9,55.2,-4.313519
2020-02-29,1671400.0,118.9,54.3,50.1,-25.867052
2020-03-31,3244100.0,122.2,52.2,52.6,-1.1
2020-04-30,2618300.0,116.4,55.6,51.6,3.9
2020-05-31,1933500.0,115.8,58.3,53.7,4.4
2020-06-30,2529900.0,112.6,63.8,60.1,4.8
2020-07-31,4046000.0,117.2,64.7,61.2,4.8
2020-08-31,2948400.0,116.4,61.5,57.1,5.6
2020-09-30,2523400.0,120.5,61.1,55.0,6.9
2020-10-31,1815100.0,121.7,59.4,53.6,6.9
2020-11-30,2551500.0,124.0,62.1,54.9,7.0
2020-12-31,2698600.0,122.1,63.0,56.5,7.3
2021-01-31,3608000.0,122.8,65.1,56.0,25.398571
2021-02-28,2718900.0,127.0,57.4,50.5,52.339181
2021-03-31,4111600.0,122.2,58.2,52.0,14.1
